Commit Hash,Count in pyszz,Count in pd
f71c5a8c775e2239a8e8fdeee12ef0a43d7a6340,0,0
9ba9d0bd22a3c122037adc9c888c3ab407eada00,0,0
40df60b5368898164008186b4c780b21d51f1799,0,0
428ae436af374e9b5b168eafff3230603ce71fa1,6,0
86d03935c29e93e804e87f3d220de86e922391ea,2,7
4f870e79358a4e4876b365f5bbb1cb2c0cff66a2,0,3
b1683f5dc56ef750ca468995eea110b2a260cb6f,0,0
8ad5028643ceaee0ebc83fa25fe38325ad908ad9,0,2
78c9bf39b95f7d24786f0d802f9a6354ea446b16,0,0
0e5c46359db26a75b09cfd6abb3f9ec9798d98d5,2,3
d938a3e7e8d7437a56ead235b254ab60ff537834,1,2
05a02110aadc81b70ed172c8c93141c4a87df8b8,1,1
95c8d19e9faefab367eb0b0b1754f5686a312e1d,0,1
dc2b649e02ed2a577ad884c0cad93bab84038fe4,0,0
c609376cde654af48475f6c40322bfd9a51450eb,5,12
18029ebe619c78a159ee14c63d2070014a66cb10,0,0
b385fee1bd1e38134f3ddf6e3083f44451df96ea,4,6
4178789ce3add3f8437151a5561365641f13eff3,0,1
eddf636825a87bd2be7782971c0db306c6596245,1,1
eaf53f75d8a9359338967455b424f543174a054d,2,1
6f45a465938eee1a6ffd506c73f9c03af784b641,1,5
fd82bef27f0a974dd8ac019ca1205fe989ffe840,0,0
0c006c1e1bf290cc758ac066df3bc12e2136f535,0,0
f9799d44dbec3aae6acee8b929ed7d69edbccba9,4,5
5cc97472e0931abc7667416df25a91c89206928a,0,2
0c96007c0a7e7cb317fb6296e180bfe3caa46c9f,0,0
172fdeb1ce4c43c096b85ce5d924b1f64c82fc01,0,0
428ae436af374e9b5b168eafff3230603ce71fa1,6,0
,0,0
a1626ed5e45095b4b89cd4a238391c32de853c40,0,0
b0a124e2e8f488280ae682ed5375af982f47bcb5,1,2
3d24714deb07978972b921025551d5328faff039,3,9
05d801e1301a13aefb94b3c77a25ea3342d46201,1,2
0c6c0a9136547cc5dd18a16d9ecee934e9f7180a,0,2
551cb91be8370e26dfffedb5ca6414b6f51342a4,0,2
946b21d05890cc2d81cc21adf548388c81959882,0,0
93196eeb819024079e94dd1eea3b22af993723cf,1,1
6768ecbd16c05c6de61159a637ce1fa9d747daf5,1,0
,0,0
5c96ddf0852dd1968926220d545cdbff36db5af6,0,3
5930bbdae3f12fd23f336dc6716b041bcbae659c,0,0
eddf636825a87bd2be7782971c0db306c6596245,1,1
488321026d425767af04410ed2d400a7f0ea90d8,0,2
49136652bc71b72bf4f64f4189320e3e6f05f58e,0,0
5d6c2ee1d47968745b75de9a44ec01880d0708bf,1,2
d1fb9e2bad0bb7bb8a78b14ee2417e7a3e2bcc18,2,4
,0,0
d1fb9e2bad0bb7bb8a78b14ee2417e7a3e2bcc18,2,4
458ee7999699b3489684178605c3f8f55294fd63,3,5
ef0a6bbba081a11baefc376203c866361e8e6af8,0,1
d2b36c06c4979c8610df750563596e88027c1f24,1,0
3d24714deb07978972b921025551d5328faff039,3,9
0afa0b7cee7ceea6a99a0031232e30a8e414fe6e,0,4
109af28c9a23244534fbd14fcef64eb92f6d1ed0,1,2
22690af1c814042483964ab100800d8093860c6c,1,3
88f07fd5502268c7f0dbd88053dae96e702e4acb,2,2
efdd24c592a212a81e7f91164fe0d2a914cc5e09,2,4
2f9328da184c1d14020c3ae62bd1c39911752f54,0,0
d4f6826d9149fb16d4195305b740709e0b74ea64,0,1
d2ddf938092bfd226f73cb63a61494a1d2dccec6,22,22
87ddfacad04758c8cc28b9abfacb43edb6a3d6ab,0,0
