Repository,Fix Commit SHA,Tests Changes in Fix,BIC Commit SHA,Tests Changes in BIC
JabRef/jabref,f6efc9f402aba53eeb3b2e5d54a739f8a28eca71,No,-,-
JabRef/jabref,85dff5fd239e627f05073329d3521175ccb3b142,No,9ba9d0bd22a3c122037adc9c888c3ab407eada00,No
JabRef/jabref,816d30c947db941d0c77f045c6288c01374c26b9,No,40df60b5368898164008186b4c780b21d51f1799,No
JabRef/jabref,10042fd25eed8872adb0b28fe68d8efdf1786072,No,-,-
JabRef/jabref,dd27b3637c5525fcafbfd1a28c2dca19e50b16bf,No,86d03935c29e93e804e87f3d220de86e922391ea,No
JabRef/jabref,075a9ca239ede1b6ded5a1b1ce707f8f2d652763,No,4f870e79358a4e4876b365f5bbb1cb2c0cff66a2,No
JabRef/jabref,3f53201dea6640bd2b0f903a257b8f772ba206a8,No,-,-
JabRef/jabref,7743ed660bc0ca6d7e6b87e9699a119956868731,No,8ad5028643ceaee0ebc83fa25fe38325ad908ad9,No
JabRef/jabref,75ea1745064ffd961a43c44886ec69d74865450f,No,-,-
JabRef/jabref,2bed3d39d8ecdd37645ba8998114386551eba82e,No,0e5c46359db26a75b09cfd6abb3f9ec9798d98d5,No
JabRef/jabref,451d829524e916da3be266f7729b1678189b4744,No,d938a3e7e8d7437a56ead235b254ab60ff537834,No
JabRef/jabref,07712ce29338056ba22b24f0de0226ea2c5db7e1,No,05a02110aadc81b70ed172c8c93141c4a87df8b8,No
JabRef/jabref,6b9b84ec937edc9bf4644fdd3a55c51e424a63ac,No,95c8d19e9faefab367eb0b0b1754f5686a312e1d,No
JabRef/jabref,ec81fc65253196716428340addbfafcddd3d2b55,No,dc2b649e02ed2a577ad884c0cad93bab84038fe4,No
JabRef/jabref,4fdafba9c1453c8c3e9eb0c490c0f4b1af1bd773,No,c609376cde654af48475f6c40322bfd9a51450eb,No
JabRef/jabref,46d2c7dc2c0a584168840550808e4b2fc86754c6,No,-,-
JabRef/jabref,6701a9e7cce8e0d2f9b5d1cf6d8f1ae34a2deedc,No,b385fee1bd1e38134f3ddf6e3083f44451df96ea,No
JabRef/jabref,e944c7aab1df6e6ac5cc081808fe92449a39cd48,No,-,-
JabRef/jabref,be338d9ba330db41d65d410378d9f97393a84db5,No,eddf636825a87bd2be7782971c0db306c6596245,No
JabRef/jabref,3d7f8f314add1a48312b225381b2b7b105b7367a,No,-,-
JabRef/jabref,fc9fd678aab9e5dff29fc5f173b2aa43c67c2428,No,-,-
JabRef/jabref,61eeb51c240465ee8a7cf5ddab2d1e0c5e2e8446,No,fd82bef27f0a974dd8ac019ca1205fe989ffe840,No
JabRef/jabref,c0fd08ec3553c9d7af2daab916426cddc15b8058,No,0c006c1e1bf290cc758ac066df3bc12e2136f535,No
JabRef/jabref,cad925494d19ac067aeb23704d5f161fc4dfc339,No,f9799d44dbec3aae6acee8b929ed7d69edbccba9,No
JabRef/jabref,be1117a6f434959b161baccd0cd94d8f8127da5a,No,5cc97472e0931abc7667416df25a91c89206928a,No
JabRef/jabref,942b7601918f69717ada574105a85a7b7cff058d,No,0c96007c0a7e7cb317fb6296e180bfe3caa46c9f,No
JabRef/jabref,ed89bdae2230fdedfa66d4622ccd912bbce9ce75,No,172fdeb1ce4c43c096b85ce5d924b1f64c82fc01,No
JabRef/jabref,10042fd25eed8872adb0b28fe68d8efdf1786072,No,-,-
JabRef/jabref,1f42928e969a9f0156848f0758fca9371126d36d,No,-,-
JabRef/jabref,5eda399f5d6be86ef7ee28e3e9e616e2c1cae550,No,a1626ed5e45095b4b89cd4a238391c32de853c40,No
JabRef/jabref,9978b67e5bedb14d9440d7245915d116906c6fee,No,b0a124e2e8f488280ae682ed5375af982f47bcb5,No
JabRef/jabref,41ef8122f2aa4e2a8f3d219927c73c1736e7a7ab,No,3d24714deb07978972b921025551d5328faff039,No
JabRef/jabref,de114d520ac0a8832bb2eacae29f1745c2f0113a,No,05d801e1301a13aefb94b3c77a25ea3342d46201,No
JabRef/jabref,f5efb349da7932c4149b2f9992533ccb1340d8e6,No,0c6c0a9136547cc5dd18a16d9ecee934e9f7180a,No
JabRef/jabref,55abd5e2e2d60ee67a22a2376fab1f13d8ee0423,No,551cb91be8370e26dfffedb5ca6414b6f51342a4,No
JabRef/jabref,31ced14ef8411cc092a812c843cc08ba8d0eec93,No,-,-
JabRef/jabref,f356f9e54a2d621163f5ee5ef56ed657b0fb99b4,No,93196eeb819024079e94dd1eea3b22af993723cf,No
JabRef/jabref,81ff8f20e34fd699cd3d9c152b254e19891adba6,No,-,-
JabRef/jabref,27f3ed6c6c8f3f886f97b5104d015d10cbac06cb,No,-,-
JabRef/jabref,5792f0fa18f772ab961e1871c223d4606684d2eb,No,5c96ddf0852dd1968926220d545cdbff36db5af6,No
JabRef/jabref,efde8eee9870d2ee489edb12f7a7843cf1a7e765,No,5930bbdae3f12fd23f336dc6716b041bcbae659c,No
JabRef/jabref,be338d9ba330db41d65d410378d9f97393a84db5,No,eddf636825a87bd2be7782971c0db306c6596245,No
JabRef/jabref,b686151cbd99fd750e0a9cab6108c252265a792d,No,488321026d425767af04410ed2d400a7f0ea90d8,No
JabRef/jabref,01f01ab84cb5f2e0126e509caab98c3558d44e35,No,49136652bc71b72bf4f64f4189320e3e6f05f58e,No
JabRef/jabref,bf09514de65bd6d2d781c64b50dea37a230458d7,No,5d6c2ee1d47968745b75de9a44ec01880d0708bf,No
JabRef/jabref,303018f7944e288990d75e267f03ae9c3b0a1cdf,No,d1fb9e2bad0bb7bb8a78b14ee2417e7a3e2bcc18,No
JabRef/jabref,8bd27f5ae0b4d535578712fba9543d08435157b2,No,-,-
JabRef/jabref,afdb1942c5ec2126e69c92c7f2660459a7bdbeae,No,d1fb9e2bad0bb7bb8a78b14ee2417e7a3e2bcc18,No
JabRef/jabref,a4b6099bb254793d9da25bf0472769b72987d182,No,-,-
JabRef/jabref,f713d943732dd76939253542a29e6b50ba9782eb,No,ef0a6bbba081a11baefc376203c866361e8e6af8,No
JabRef/jabref,d650b2648cba0556c9876b27bc9ccc4d6efc0a7d,No,-,-
JabRef/jabref,eb5c8ca33a608a4a20b614d8e3bdc4bc17413b3e,No,3d24714deb07978972b921025551d5328faff039,No
JabRef/jabref,599e21d28f776aea8fda80709facf6fe4c6cca6a,No,0afa0b7cee7ceea6a99a0031232e30a8e414fe6e,No
JabRef/jabref,79a330ebfe8c3df4ee057726e0e4029675d4e870,No,109af28c9a23244534fbd14fcef64eb92f6d1ed0,No
JabRef/jabref,9213e3c2db76ab2839c36644dc241af60e9d3322,No,-,-
JabRef/jabref,0c34fa4ba99821570dbf04e22d6f749a9c1b2456,No,88f07fd5502268c7f0dbd88053dae96e702e4acb,No
JabRef/jabref,41bd5e03b34c0eeaba7f53811030dae2a1a03ac4,No,efdd24c592a212a81e7f91164fe0d2a914cc5e09,No
JabRef/jabref,4994d7f5678ab0db5ec36a1e3c743d7cbbc349ea,No,2f9328da184c1d14020c3ae62bd1c39911752f54,No
JabRef/jabref,d281ece4b5a96d6101cbea5f3475d0d8e19f75c8,No,-,-
JabRef/jabref,1d7a2533833252da88274f9690cbce19b3e855b9,No,d2ddf938092bfd226f73cb63a61494a1d2dccec6,No
JabRef/jabref,f0f7aa49765fe68b521cb0eb4ef43cd3e1e763af,No,87ddfacad04758c8cc28b9abfacb43edb6a3d6ab,No
JabRef/jabref,05a0ce9755d044557d97c48103d02bfb6b43c1a0,No,-,-
JabRef/jabref,690ce4b20c76886fd2bfc0bb5ee4386f6b3bac50,No,5f7aa46dd794877996951f169071b241bf90b928,No
JabRef/jabref,62dbf0d5ae1838c9c7aa73bfa7a0a1a9e6aa2d32,No,de57f7f4147df077e6b2dd163eee45df919fe5f3,No
JabRef/jabref,d5f0b695fbc5ee7895a0bd5536e11116be7599d8,No,-,-
JabRef/jabref,65cacb15f0a86d7fc7c571d816fd5c5015207733,No,445751f523f20c6146c2c2c0315840796b8beb06,No
JabRef/jabref,6768ecbd16c05c6de61159a637ce1fa9d747daf5,No,708b412f23fd260488d5c100214b3a817333a773,No
JabRef/jabref,2a4bd6cac3593fafa88e4909953c03b96339cb72,No,a1ef245d00e87c6672ae5cee7167b24647daac1b,No
JabRef/jabref,66afd4216b4ee0db9525df9782200e36161a9b4f,No,2ad080bca366ada946ad2100a90facbe28420c9e,No
JabRef/jabref,998fb285489bea422a67d91c7bf392e312788827,No,aeecdd982fc569ef104c104f0988722dd2e0d99f,No
JabRef/jabref,7257350b60427fbd6ee5b6f65641fe912ae8e78a,No,133fbaa376e779ab515f763f7a6986a0ba4f37ce,No
JabRef/jabref,ffb4bf98ac0b93d5f259f8904025605ea9c52232,No,-,-
JabRef/jabref,9e48a5ff8b41c0e3f0f6d331cfda0e2b9014be25,No,e1b2aa39bdbf7a66984cefc2095b0ca78a42e983,No
JabRef/jabref,8720fd254b68c2a4b50a08766db67799c260d5ab,No,-,-
JabRef/jabref,c1c79a054d1a8c4964288aa6c34b9ed81bd3b0d6,No,-,-
JabRef/jabref,9398c3e1c5a5d92ca8f54e9f2a0213b85958d382,No,-,-
JabRef/jabref,9738afc5dfc7f3e40221243ef346e3076caf2f08,No,7479e5df5e754c75ea5abd612ef64ec79c87078f,No
JabRef/jabref,c7f2671730f28fb75af823f574ba7d27106c1b06,No,1bec5efd35491af6bc413eccf7593ba0ed4679f3,No
JabRef/jabref,36e4f0e56ecc0fd5653b5bfbed15eecf34e38f47,No,7bd2ca057d826aa007de54c2449dc3486ccd9fb9,No
JabRef/jabref,79ff33072c54124ea7693a66bc26244e604a6ebc,No,5e0a26ed248a13c44aa66e48649f3958f178281b,No
JabRef/jabref,46b73391c4d7f0d8ffd3f44dd05397648251bc3e,No,456241c1624f549dc0b1453114b2fe0143ef2212,No
JabRef/jabref,147ffca5733014b6abd3899428ed229baf5182b0,No,-,-
JabRef/jabref,34fbe7681dec9d102392eccd0ed2e59139e69ad8,No,-,-
JabRef/jabref,b39c2e5aa2a89644f5220f42befa0e758b44bc80,No,845b384b1796902a2ee15cc65c9c31ec3dd07293,No
